UniqueID,County,Location,PatronName,Patron,TroupeName,PerformerType,VenueName,VenueType,EventType,FromDate,FromDateYear,ToDate,ToDateYear,Auspices,PerformanceSpace,County Population,Latitude,Longitude
23,Gloucestershire,Gloucester,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,Boothall,Town Hall,Performance,10/5/1583,1583/10/05,10/5/1583,1583/10/05,Civic,,106828,51.864245,-2.238156
24,Gloucestershire,Bristol,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,Guildhall,Guildhall,Performance,9/20/1584,1584/09/20,9/26/1584,1584/09/26,Civic,Hall,106828,51.454513,-2.58791
25,Gloucestershire,Bristol,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,Guildhall,Guildhall,Performance,3/26/1586,1586/03/26,4/2/1586,1586/04/02,Civic,Hall,106828,51.454513,-2.58791
26,Gloucestershire,Bristol,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,Guildhall,Guildhall,Performance,7/5/1590,1590/07/05,7/11/1590,1590/07/11,Civic,Hall,106828,51.454513,-2.58791
27,Kent,Lydd,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,Common Hall,Town Hall,Performance,7/22/1588,1588/07/22,11/17/1588,1588/11/17,,,136710,50.950945,0.906589
28,Kent,Lydd,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,Common Hall,Town Hall,Performance,7/22/1589,1589/07/22,7/22/1590,1590/07/22,,,136710,50.950945,0.906589
29,Kent,Faversham,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,Guildhall,Guildhall,Performance,11/3/1584,1584/11/03,11/3/1584,1584/11/03,,,136710,51.315994,0.889358
30,Kent,Faversham,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,Guildhall,Guildhall,Performance,9/29/1587,1587/09/29,9/29/1588,1588/09/29,,,136710,51.315994,0.889358
31,Kent,Faversham,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,Guildhall,Guildhall,Performance,9/29/1589,1589/09/29,1/4/1590,1590/01/04,,,136710,51.315994,0.889358
32,Kent,Faversham,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,Guildhall,Guildhall,Performance,11/21/1589,1589/11/21,11/21/1589,1589/11/21,,,136710,51.315994,0.889358
33,Kent,Faversham,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,Guildhall,Guildhall,Performance,1/4/1590,1590/01/04,1/4/1590,1590/01/04,,,136710,51.315994,0.889358
34,Kent,Fordwich,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,Town Hall,Town Hall,Performance,12/29/1587,1587/12/29,12/2/1588,1588/12/02,,,136710,51.295143,1.124467
35,Kent,Maidstone,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,Town Hall,Town Hall,Performance,11/1/1587,1587/11/01,11/1/1588,1588/11/01,,,136710,51.270363,0.522699
36,Kent,Maidstone,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,Town Hall,Town Hall,Performance,11/17/1589,1589/11/17,11/17/1589,1589/11/17,,,136710,51.270363,0.522699
37,Kent,Dover,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,unknown,unknown,Performance,11/28/1584,1584/11/28,12/19/1584,1584/12/19,,,136710,51.127876,1.313403
38,Kent,Dover,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,unknown,unknown,Performance,3/5/1586,1586/03/05,3/5/1586,1586/03/05,,,136710,51.127876,1.313403
39,Kent,Dover,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,unknown,unknown,Performance,9/28/1588,1588/09/28,9/28/1588,1588/09/28,,,136710,51.127876,1.313403
40,Kent,Hythe,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,unknown,unknown,Performance,2/2/1586,1586/02/02,2/2/1587,1587/02/02,,,136710,51.071739,1.081937
41,Kent,Hythe,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,unknown,unknown,Performance,2/2/1587,1587/02/02,2/2/1588,1588/02/02,,,136710,51.071739,1.081937
42,Kent,Hythe,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,unknown,unknown,Performance,2/2/1588,1588/02/02,2/2/1589,1589/02/02,,,136710,51.071739,1.081937
43,Kent,Hythe,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,unknown,unknown,Performance,9/29/1589,1589/09/29,2/2/1590,1590/02/02,,,136710,51.071739,1.081937
44,Kent,New Romney,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,unknown,unknown,Performance,8/13/1587,1587/08/13,9/2/1587,1587/09/02,,,136710,50.985117,0.939473
45,Kent,New Romney,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,unknown,unknown,Performance,10/18/1588,1588/10/18,2/14/1589,1589/02/14,,,136710,50.985117,0.939473
46,Lancashire,Knowsley,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,Knowsley Hall,Private Residence,Performance,9/6/1589,1589/09/06,9/7/1589,1589/09/07,Domestic,,232654,53.454594,-2.852907
47,Norfolk,Norwich,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,Common Hall,Town Hall,Performance,9/29/1589,1589/09/29,9/28/1590,1590/09/28,Civic,Hall,140581,52.630886,1.297355
48,Norfolk,Norwich,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,Thorpe,Uncertain,Performance,6/26/1585,1585/06/26,6/26/1585,1585/06/26,Domestic?,,140581,52.630886,1.297355
49,Oxfordshire,Oxford,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,Guildhall,Guildhall,Performance,5/11/1586,1586/05/11,5/11/1586,1586/05/11,,,51126,51.752021,-1.257726
50,Oxfordshire,Oxford,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,Guildhall,Guildhall,Performance,9/29/1589,1589/09/29,9/28/1590,1590/09/28,,,51126,51.752021,-1.257726
51,Shropshire,Shrewsbury,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,Booth Hall,Town Hall,Performance,6/19/1587,1587/06/19,8/7/1587,1587/08/07,Civic,Hall,85677,52.707303,-2.755327
52,Shropshire,Shrewsbury,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,Marketplace,Marketplace,Performance,7/17/1584,1584/07/17,7/17/1584,1584/07/17,Civic,Apple Market,85677,52.707303,-2.755327
53,Shropshire,Ludlow,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,unknown,unknown,Performance,7/1/1584,1584/07/01,7/31/1584,1584/07/31,,,85677,52.367749,-2.713913
54,Shropshire,Ludlow,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,unknown,unknown,Performance,4/1/1586,1586/04/01,4/30/1586,1586/04/30,,,85677,52.367749,-2.713913
55,Somerset,Bath,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,Guildhall,Guildhall,Performance,7/20/1588,1588/07/20,8/13/1588,1588/08/13,Civic,Hall,154845,51.375801,-2.359904
56,Somerset,Bath,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,Guildhall,Guildhall,Performance,8/1/1584,1584/08/01,9/30/1584,1584/09/30,Civic,Hall,154845,51.375801,-2.359904
57,Sussex,Rye,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,unknown,unknown,Performance,10/1/1588,1588/10/01,10/1/1588,1588/10/01,,,101245,50.949708,0.73726
58,Warwickshire,Coventry,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,St Mary's Guildhall,Guildhall,Performance,11/1/1582,1582/11/01,10/31/1583,1583/10/31,Civic,,50960,52.406822,-1.519693
59,Warwickshire,Coventry,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,St Mary's Guildhall,Guildhall,Performance,11/1/1583,1583/11/01,10/31/1584,1584/10/31,Civic,Hall,50960,52.406822,-1.519693
60,Warwickshire,Coventry,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,St Mary's Guildhall,Guildhall,Performance,11/1/1589,1589/11/01,10/31/1590,1590/10/31,Civic,Hall,50960,52.406822,-1.519693
61,Warwickshire,Coventry,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,St Mary's Guildhall,Guildhall,Performance,11/1/1587,1587/11/01,10/31/1588,1588/10/31,Civic,Hall,50960,52.406822,-1.519693
62,Warwickshire,Coventry,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,St Mary's Guildhall,Guildhall,Performance,11/1/1581,1581/11/01,10/31/1582,1582/10/31,Civic,Hall,50960,52.406822,-1.519693
63,Warwickshire,Coventry,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,St Mary's Guildhall,Guildhall,Performance,11/1/1585,1585/11/01,10/31/1586,1586/10/31,Civic,Hall,50960,52.406822,-1.519693
64,Westmorland,Kendal,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,Town Hall,Town Hall,Performance,10/1/1587,1587/10/01,10/3/1587,1587/10/03,Civic,,54323,54.328006,-2.74629
65,Yorkshire,York,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,Common Hall,Guildhall,Performance,3/1/1584,1584/03/01,3/24/1584,1584/03/24,Civic,Hall,353483,53.959965,-1.087298
66,Yorkshire,York,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,Common Hall,Guildhall,Performance,2/27/1587,1587/02/27,2/27/1587,1587/02/27,Civic,Hall,353483,53.959965,-1.087298
67,Yorkshire,York,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Players,Players,Common Hall,Guildhall,Performance,2/1/1588,1588/02/01,2/28/1588,1588/02/28,Civic,Hall,353483,53.959965,-1.087298
68,Newcastle upon Tyne,Newcastle,Robert Devereux (1565-1601),Robert Devereux,Earl of Essex's Tumblers,Tumblers,Merchants' Court,Guildhall,Performance,11/8/1590,1590/11/08,11/14/1590,1590/11/14,Civic,Hall,53192,54.978252,-1.61778
69,Kent,Canterbury,Edward Seymour (1539-1621),Edward Seymour,Earl of Hertford's Players,Players,unknown,unknown,Performance,2/6/1582,1582/02/06,9/28/1582,1582/09/28,,,136710,51.280233,1.078909
70,Newcastle upon Tyne,Newcastle,Edward Seymour (1539-1621),Edward Seymour,Earl of Hertford's Players,Players,Merchants' Court,Guildhall,Performance,9/13/1590,1590/09/13,9/19/1590,1590/09/19,Civic,Hall,53192,54.978252,-1.61778
71,Warwickshire,Coventry,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Musicians,Musicians,St Mary's Guildhall,Guildhall,Performance,11/1/1582,1582/11/01,10/31/1583,1583/10/31,Civic,Hall,50960,52.406822,-1.519693
72,Warwickshire,Coventry,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Musicians,Musicians,St Mary's Guildhall,Guildhall,Performance,11/1/1585,1585/11/01,10/31/1586,1586/10/31,Civic,Hall,50960,52.406822,-1.519693
73,Devon,Exeter,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,Guildhall,Guildhall,Performance,3/24/1586,1586/03/24,3/24/1586,1586/03/24,Civic,Hall,239662,50.718412,-3.533899
74,Devon,Plymouth,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,Guildhall,Guildhall,Performance,5/15/1588,1588/05/15,5/15/1588,1588/05/15,Civic,Hall,239662,50.375457,-4.142656
75,Devon,Exeter,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,Guildhall,Guildhall,Performance,9/29/1586,1586/09/29,9/28/1587,1587/09/28,Civic,Hall,239662,50.718412,-3.533899
76,Dorset,Lyme Regis,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,Town Hall,Town Hall,Performance,4/4/1587,1587/04/04,4/4/1587,1587/04/04,,,66022,50.725156,-2.936639
77,Gloucestershire,Gloucester,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,Boothall,Town Hall,Performance,9/29/1584,1584/09/29,9/28/1585,1585/09/28,Civic,Hall,106828,51.864245,-2.238156
78,Gloucestershire,Gloucester,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,Boothall,Town Hall,Performance,9/29/1586,1586/09/29,9/28/1587,1587/09/28,Civic,,106828,51.864245,-2.238156
79,Gloucestershire,Gloucester,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,Boothall,Town Hall,Performance,6/17/1588,1588/06/17,6/17/1588,1588/06/17,Civic,,106828,51.864245,-2.238156
80,Gloucestershire,Bristol,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,Guildhall,Guildhall,Performance,4/9/1587,1587/04/09,4/15/1587,1587/04/15,Civic,Hall,106828,51.454513,-2.58791
81,Gloucestershire,Bristol,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,Guildhall,Guildhall,Performance,6/9/1588,1588/06/09,6/15/1588,1588/06/15,Civic,Hall,106828,51.454513,-2.58791
82,Kent,Lydd,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,Common Hall,Town Hall,Performance,7/22/1587,1587/07/22,7/22/1588,1588/07/22,,,136710,50.950945,0.906589
83,Kent,Faversham,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,Guildhall,Guildhall,Performance,9/29/1587,1587/09/29,9/29/1588,1588/09/29,,,136710,51.315994,0.889358
84,Kent,Folkestone,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,Town Hall,Town Hall,Performance,9/8/1587,1587/09/08,9/8/1588,1588/09/08,,,136710,51.081397,1.169456
85,Kent,Fordwich,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,Town Hall,Town Hall,Performance,12/5/1580,1580/12/05,12/4/1581,1581/12/04,,,136710,51.295143,1.124467
86,Kent,Fordwich,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,Town Hall,Town Hall,Performance,12/5/1586,1586/12/05,12/4/1587,1587/12/04,,,136710,51.295143,1.124467
87,Kent,Maidstone,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,Town Hall,Town Hall,Performance,1/23/1587,1587/01/23,1/23/1587,1587/01/23,,,136710,51.270363,0.522699
88,Kent,Canterbury,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,unknown,unknown,Performance,9/29/1586,1586/09/29,9/28/1587,1587/09/28,,,136710,51.280233,1.078909
89,Kent,Dover,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,unknown,unknown,Performance,3/4/1587,1587/03/04,3/4/1587,1587/03/04,,,136710,51.127876,1.313403
90,Kent,Dover,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,unknown,unknown,Performance,2/3/1588,1588/02/03,2/3/1588,1588/02/03,,,136710,51.127876,1.313403
91,Kent,Hythe,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,unknown,unknown,Performance,2/2/1587,1587/02/02,2/2/1588,1588/02/02,,,136710,51.071739,1.081937
92,Kent,New Romney,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,unknown,unknown,Performance,3/13/1580,1580/03/13,3/13/1580,1580/03/13,,,136710,50.985117,0.939473
93,Kent,New Romney,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,unknown,unknown,Performance,3/23/1587,1587/03/23,4/2/1587,1587/04/02,,,136710,50.985117,0.939473
94,Kent,New Romney,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,unknown,unknown,Performance,1/19/1588,1588/01/19,2/7/1588,1588/02/07,,,136710,50.985117,0.939473
95,Lancashire,Lathom,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,Lathom House,Private Residence,Performance,7/6/1587,1587/07/06,7/8/1587,1587/07/08,Domestic,Great Hall,232654,53.600973,-2.812062
96,Newcastle upon Tyne,Newcastle,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,Merchants' Court,Guildhall,Performance,8/7/1580,1580/08/07,8/13/1580,1580/08/13,Civic,Hall,53192,54.978252,-1.61778
97,Norfolk,Norwich,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,Common Hall,Town Hall,Performance,9/29/1580,1580/09/29,9/28/1581,1581/09/28,Civic,Hall,140581,52.630886,1.297355
98,Norfolk,Norwich,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,Common Hall,Town Hall,Performance,9/29/1586,1586/09/29,9/28/1587,1587/09/28,Civic,Hall,140581,52.630886,1.297355
99,Norfolk,Norwich,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,Common Hall,Town Hall,Performance,9/29/1587,1587/09/29,9/28/1588,1588/09/28,Civic,Hall,140581,52.630886,1.297355
100,Norfolk,Norwich,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,Common Hall,Town Hall,Performance,9/4/1588,1588/09/04,9/4/1588,1588/09/04,Civic,Hall,140581,52.630886,1.297355
101,Oxfordshire,Oxford,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,Guildhall,Guildhall,Performance,12/11/1587,1587/12/11,12/11/1587,1587/12/11,,,51126,51.752021,-1.257726
102,Shropshire,Shrewsbury,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,Gullet Tavern,Tavern,Performance,9/29/1581,1581/09/29,9/28/1582,1582/09/28,Civic,,85677,52.707303,-2.755327
103,Somerset,Bath,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,Guildhall,Guildhall,Performance,8/1/1585,1585/08/01,8/28/1585,1585/08/28,Civic,Hall,154845,51.375801,-2.359904
104,Somerset,Bath,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,Guildhall,Guildhall,Performance,5/22/1588,1588/05/22,6/18/1588,1588/06/18,Civic,Hall,154845,51.375801,-2.359904
105,Somerset,Bath,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,Guildhall,Guildhall,Performance,4/1/1587,1587/04/01,6/14/1587,1587/06/14,Civic,Hall,154845,51.375801,-2.359904
106,Sussex,Rye,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,unknown,unknown,Performance,3/1/1587,1587/03/01,3/1/1587,1587/03/01,,,101245,50.949708,0.73726
107,Sussex,Rye,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,unknown,unknown,Performance,2/5/1588,1588/02/05,2/6/1588,1588/02/06,,,101245,50.949708,0.73726
108,Warwickshire,Coventry,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,St Mary's Guildhall,Guildhall,Performance,11/1/1581,1581/11/01,10/31/1582,1582/10/31,Civic,Hall,50960,52.406822,-1.519693
109,Warwickshire,Coventry,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,St Mary's Guildhall,Guildhall,Performance,7/1/1587,1587/07/01,7/31/1587,1587/07/31,Civic,Hall,50960,52.406822,-1.519693
110,Warwickshire,Coventry,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,St Mary's Guildhall,Guildhall,Performance,11/1/1584,1584/11/01,10/31/1585,1585/10/31,Civic,Hall,50960,52.406822,-1.519693
111,Warwickshire,Coventry,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,St Mary's Guildhall,Guildhall,Performance,8/1/1587,1587/08/01,8/1/1587,1587/08/01,Civic,Hall,50960,52.406822,-1.519693
112,Warwickshire,Coventry,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,St Mary's Guildhall,Guildhall,Performance,11/1/1587,1587/11/01,10/31/1588,1588/10/31,Civic,Hall,50960,52.406822,-1.519693
113,Yorkshire,York,Robert Dudley (1532-1588),Robert Dudley,Earl of Leicester's Players,Players,Common Hall,Guildhall,Performance,7/13/1588,1588/07/13,7/13/1588,1588/07/13,Civic,Hall,353483,53.959965,-1.087298
114,Devon,Barnstaple,Edward de Vere (1550-1604),Edward de Vere,Earl of Oxford's Musicians,Musicians,Guildhall (2),Guildhall,Performance,6/25/1585,1585/06/25,9/28/1585,1585/09/28,Civic,Hall,239662,51.07816,-4.058338
115,Devon,Totnes,Edward de Vere (1550-1604),Edward de Vere,Earl of Oxford's Players,Players,Guildhall,Guildhall,Performance,9/29/1584,1584/09/29,9/28/1585,1585/09/28,Civic,Hall,239662,50.433741,-3.685797
116,Devon,Exeter,Edward de Vere (1550-1604),Edward de Vere,Earl of Oxford's Players,Players,Guildhall,Guildhall,Performance,4/1/1583,1583/04/01,4/28/1583,1583/04/28,Civic,Hall,239662,50.718412,-3.533899
117,Devon,Exeter,Edward de Vere (1550-1604),Edward de Vere,Earl of Oxford's Players,Players,Guildhall,Guildhall,Performance,5/13/1584,1584/05/13,5/13/1584,1584/05/13,Civic,Hall,239662,50.718412,-3.533899
118,Dorset,Lyme Regis,Edward de Vere (1550-1604),Edward de Vere,Earl of Oxford's Players,Players,Town Hall,Town Hall,Performance,5/4/1584,1584/05/04,5/4/1584,1584/05/04,,,66022,50.725156,-2.936639
119,Dorset,Lyme Regis,Edward de Vere (1550-1604),Edward de Vere,Earl of Oxford's Players,Players,Town Hall,Town Hall,Performance,5/25/1585,1585/05/25,5/25/1585,1585/05/25,,,66022,50.725156,-2.936639
120,Gloucestershire,Gloucester,Edward de Vere (1550-1604),Edward de Vere,Earl of Oxford's Players,Players,Boothall,Town Hall,Performance,9/29/1584,1584/09/29,9/28/1585,1585/09/28,Civic,,106828,51.864245,-2.238156
121,Gloucestershire,Gloucester,Edward de Vere (1550-1604),Edward de Vere,Earl of Oxford's Players,Players,Boothall,Town Hall,Performance,5/26/1583,1583/05/26,5/26/1583,1583/05/26,Civic,,106828,51.864245,-2.238156
122,Gloucestershire,Gloucester,Edward de Vere (1550-1604),Edward de Vere,Earl of Oxford's Players,Players,Boothall,Town Hall,Performance,1/11/1584,1584/01/11,9/28/1584,1584/09/28,Civic,,106828,51.864245,-2.238156
123,Gloucestershire,Gloucester,Edward de Vere (1550-1604),Edward de Vere,Earl of Oxford's Players,Players,Boothall,Town Hall,Performance,9/29/1584,1584/09/29,9/28/1585,1585/09/28,,,106828,51.864245,-2.238156
124,Gloucestershire,Bristol,Edward de Vere (1550-1604),Edward de Vere,Earl of Oxford's Players,Players,Guildhall,Guildhall,Performance,9/17/1581,1581/09/17,9/23/1581,1581/09/23,Civic,Hall,106828,51.454513,-2.58791
125,Gloucestershire,Bristol,Edward de Vere (1550-1604),Edward de Vere,Earl of Oxford's Players,Players,Guildhall,Guildhall,Performance,5/20/1583,1583/05/20,5/20/1583,1583/05/20,Civic,Hall,106828,51.454513,-2.58791
126,Kent,Faversham,Edward de Vere (1550-1604),Edward de Vere,Earl of Oxford's Players,Players,Guildhall,Guildhall,Performance,9/29/1584,1584/09/29,9/29/1585,1585/09/29,,,136710,51.315994,0.889358
127,Kent,Fordwich,Edward de Vere (1550-1604),Edward de Vere,Earl of Oxford's Players,Players,Town Hall,Town Hall,Performance,12/2/1583,1583/12/02,12/8/1584,1584/12/08,,,136710,51.295143,1.124467
128,Kent,Maidstone,Edward de Vere (1550-1604),Edward de Vere,Earl of Oxford's Players,Players,Town Hall,Town Hall,Performance,11/2/1584,1584/11/02,11/2/1585,1585/11/02,,,136710,51.270363,0.522699
129,Kent,Dover,Edward de Vere (1550-1604),Edward de Vere,Earl of Oxford's Players,Players,unknown,unknown,Performance,9/8/1580,1580/09/08,9/8/1581,1581/09/08,,,136710,51.127876,1.313403
130,Kent,Dover,Edward de Vere (1550-1604),Edward de Vere,Earl of Oxford's Players,Players,unknown,unknown,Performance,9/15/1583,1583/09/15,7/4/1584,1584/07/04,,,136710,51.127876,1.313403
